gene index	a_n	m	resub	bresub
[387]	[0.0309]	-0.9091	0.2857	0.3043
[388]	[0.0079]	-0.2787	0.5000	0.4685
[389]	[0.0062]	-0.1878	0.5000	0.4915
[390]	[-0.0033]	0.1038	0.5000	0.4494
[391]	[0.0201]	-1.0620	0.2143	0.2864
[392]	[0.0430]	-1.0112	0.2857	0.3245
[393]	[-0.0263]	1.2172	0.2857	0.3184
[394]	[-0.0114]	0.3328	0.4286	0.4451
[395]	[-0.0047]	0.3412	0.3571	0.4133
[396]	[0.0148]	-0.1405	0.4286	0.4472
[397]	[0.0014]	-0.1305	0.5714	0.4797
[398]	[0.0043]	-2.2147	0.2143	0.1859
[399]	[0.0133]	-0.1082	0.5000	0.4995
[400]	[-0.0013]	0.1913	0.5714	0.5302
[401]	[-0.0050]	0.3034	0.5000	0.3959
[402]	[0.0122]	-0.9763	0.4286	0.3955
[403]	[0.0151]	-0.6526	0.3571	0.4153
[404]	[-0.0047]	0.0595	0.4286	0.4691
[405]	[-0.0325]	1.3150	0.2143	0.1980
[406]	[0.0033]	-0.4980	0.4286	0.4500
[407]	[0.0192]	-1.2455	0.4286	0.3697
[408]	[0.0080]	-0.2929	0.4286	0.4419
[409]	[0.0451]	-1.6634	0.2857	0.2914
[410]	[-0.0120]	0.5243	0.3571	0.3994
[411]	[0.0197]	-0.6467	0.4286	0.3660
[412]	[0.0179]	-1.3763	0.2143	0.1728
[413]	[0.0029]	-1.2682	0.1429	0.1943
[414]	[0.0575]	-1.0230	0.2143	0.2653
[415]	[0.0095]	-0.7116	0.2857	0.2584
[416]	[0.0588]	-0.7339	0.3571	0.3674
[417]	[-0.0906]	2.2980	0.1429	0.1826
[418]	[0.0139]	-0.6357	0.3571	0.4005
[419]	[0.0229]	-0.7819	0.3571	0.3254
[420]	[-0.0169]	0.0891	0.5000	0.4562
[421]	[-0.0074]	0.3336	0.5714	0.5189
[422]	[0.0095]	-0.1657	0.3571	0.4142
[423]	[-0.0018]	0.2358	0.4286	0.4432
[424]	[0.0603]	-0.6982	0.3571	0.4148
[425]	[0.0193]	-1.0143	0.3571	0.3827
[426]	[0.0118]	-0.3145	0.5714	0.5263
[427]	[0.0046]	-0.5150	0.4286	0.4275
[428]	[-0.0159]	0.5198	0.3571	0.4023
[429]	[-0.0281]	0.3109	0.3571	0.3238
[430]	[0.0080]	-2.4167	0.1429	0.1857
[431]	[-0.0112]	1.0931	0.4286	0.4247
[432]	[0.0068]	-0.4467	0.4286	0.4052
[433]	[0.0148]	-0.3012	0.5714	0.4961
[434]	[-0.0273]	0.5113	0.5000	0.4652
[435]	[0.0060]	-0.1873	0.6429	0.5287
[436]	[0.0051]	-1.1860	0.3571	0.3701
[437]	[0.0057]	-0.5398	0.5714	0.4918
[438]	[0.0371]	-0.3328	0.3571	0.3880
[439]	[0.0053]	-0.2303	0.4286	0.4604
[440]	[0.0003]	-1.9305	0.3571	0.3670
[441]	[0.0097]	-0.6225	0.3571	0.3700
[442]	[-0.0033]	0.1689	0.4286	0.2670
[443]	[-0.0450]	2.4089	0.2857	0.3175
[444]	[0.0026]	-0.8413	0.3571	0.4127
[445]	[0.0137]	-2.2328	0.0714	0.1571
[446]	[-0.0055]	0.5457	0.2857	0.3445
[447]	[-0.0014]	0.0798	0.4286	0.5060
[448]	[0.0426]	-0.8693	0.2143	0.2233
[449]	[0.0139]	-3.1588	0.3571	0.3667
[450]	[-0.0048]	0.3895	0.5000	0.4518
[451]	[0.0033]	-0.4110	0.4286	0.4077
[452]	[0.0335]	-0.6476	0.4286	0.3650
[453]	[0.0013]	-0.2236	0.5000	0.4894
[454]	[-0.0141]	0.2162	0.4286	0.4425
[455]	[-0.0127]	0.9360	0.3571	0.3451
[456]	[0.0045]	-0.0943	0.6429	0.5561
[457]	[0.0119]	-0.3318	0.5714	0.4599
[458]	[-0.0017]	0.1447	0.5714	0.4892
[459]	[-0.0047]	0.3028	0.4286	0.4351
[460]	[0.0105]	-0.4212	0.4286	0.3425
[461]	[0.0155]	-0.3921	0.5000	0.4107
[462]	[-0.0183]	0.6992	0.4286	0.4074
[463]	[-0.0112]	0.5593	0.4286	0.4293
[464]	[0.0016]	-0.2259	0.4286	0.4603
