gene index	a_n	m	resub	bresub
[272]	[-0.0185]	1.7684	0.4375	0.4241
[273]	[0.0346]	-0.8847	0.4375	0.3884
[274]	[-0.0103]	0.3295	0.5000	0.5231
[275]	[0.0085]	-0.1954	0.4375	0.4358
[276]	[0.0030]	-0.3072	0.3125	0.2491
[277]	[0.0029]	-0.1862	0.5000	0.4730
[278]	[-0.0138]	0.5572	0.3750	0.3998
[279]	[-0.0078]	0.2990	0.5000	0.5357
[280]	[0.0111]	-0.2069	0.5625	0.4739
[281]	[-0.0083]	0.3631	0.3750	0.3875
[282]	[0.0003]	-0.0657	0.5625	0.5182
[283]	[0.0251]	-0.1935	0.5000	0.5099
[284]	[-0.0074]	0.2396	0.3125	0.4159
[285]	[-0.0152]	0.5349	0.3125	0.3815
[286]	[-0.0037]	0.0904	0.5000	0.5073
[287]	[0.0002]	-0.0168	0.5000	0.5072
[288]	[0.0271]	-1.1094	0.2500	0.2779
[289]	[0.0105]	-0.5309	0.3750	0.4681
[290]	[0.0056]	-0.1221	0.5000	0.5088
[291]	[0.0227]	-0.3713	0.4375	0.4157
[292]	[0.0361]	-0.6691	0.4375	0.3849
[293]	[0.0088]	-0.1383	0.6250	0.5360
[294]	[-0.0199]	0.6306	0.2500	0.3302
[295]	[-0.0264]	0.8674	0.4375	0.4409
[296]	[0.0006]	-0.4156	0.3750	0.3675
[297]	[-0.0055]	1.0969	0.4375	0.4335
[298]	[0.0305]	-0.8430	0.2500	0.3421
[299]	[0.0324]	-1.0048	0.3125	0.3439
[300]	[-0.0082]	0.1955	0.5000	0.4589
[301]	[-0.0053]	0.2568	0.5000	0.4760
[302]	[-0.0320]	1.1010	0.3125	0.3370
[303]	[0.0234]	-0.7328	0.4375	0.4252
[304]	[0.0015]	-0.3594	0.3750	0.3025
[305]	[0.0333]	-3.2568	0.2500	0.2312
[306]	[-0.0038]	0.2551	0.5625	0.4887
[307]	[0.0069]	-2.2576	0.1875	0.3042
[308]	[0.0045]	-0.3816	0.3750	0.3255
[309]	[-0.0005]	0.3858	0.5000	0.5008
[310]	[-0.0103]	0.6740	0.3750	0.4046
[311]	[0.0035]	-0.0970	0.4375	0.4538
[312]	[-0.0022]	0.0896	0.4375	0.4610
[313]	[-0.0071]	0.4352	0.4375	0.4169
[314]	[0.0488]	-1.0415	0.2500	0.3036
[315]	[0.0179]	-0.9987	0.4375	0.4324
[316]	[0.0049]	-0.3727	0.3125	0.2452
[317]	[0.0012]	-0.1830	0.3750	0.4151
[318]	[0.0002]	-0.0536	0.3750	0.4710
[319]	[-0.0123]	0.2306	0.3750	0.4394
[320]	[0.0011]	-1.4215	0.2500	0.3520
[321]	[-0.0027]	1.1638	0.4375	0.4307
[322]	[-0.0024]	0.3177	0.4375	0.2924
[323]	[0.0188]	-0.3471	0.4375	0.4194
[324]	[0.0056]	-0.9601	0.3125	0.3675
[325]	[0.0089]	-0.2312	0.4375	0.4020
[326]	[0.0163]	-0.3402	0.5000	0.3830
[327]	[0.0343]	-2.8826	0.2500	0.2655
[328]	[-0.0025]	0.7498	0.4375	0.5000
[329]	[0.0213]	-2.7026	0.1875	0.2803
[330]	[-0.0201]	1.2591	0.5000	0.4291
[331]	[0.0070]	-0.1529	0.3750	0.4259
[332]	[-0.0004]	0.0495	0.5000	0.4919
[333]	[0.0096]	-1.1303	0.3125	0.3439
[334]	[0.0275]	-0.3836	0.3750	0.4342
[335]	[-0.0606]	2.3791	0.3125	0.3222
[336]	[0.0007]	-0.0242	0.5625	0.5278
[337]	[-0.0016]	0.3748	0.4375	0.4489
[338]	[-0.0320]	1.0113	0.1875	0.2534
[339]	[-0.0076]	0.2042	0.3125	0.4409
[340]	[0.0264]	-2.2225	0.3125	0.3038
[341]	[-0.0062]	0.1126	0.5625	0.5457
[342]	[-0.0170]	0.3374	0.4375	0.4126
[343]	[-0.0117]	0.3394	0.5000	0.4727
[344]	[-0.0442]	0.8018	0.3750	0.3906
[345]	[0.0156]	-0.3236	0.2500	0.2984
[346]	[-0.0163]	0.4870	0.3750	0.3766
[347]	[0.0199]	-0.6581	0.4375	0.4117
[348]	[-0.0214]	0.7156	0.3750	0.3802
[349]	[-0.0531]	4.7192	0.2500	0.2305
[350]	[-0.0038]	0.1639	0.5000	0.4957
[351]	[0.0064]	-0.2519	0.5000	0.4643
[352]	[0.0020]	-0.1107	0.5000	0.4641
[353]	[-0.0041]	0.1929	0.5000	0.4912
[354]	[0.0025]	-0.3858	0.3125	0.2443
[355]	[-0.0138]	0.5509	0.3125	0.4105
[356]	[0.0004]	-0.0707	0.5000	0.4923
[357]	[-0.0105]	0.2587	0.4375	0.4147
[358]	[0.0126]	-0.5541	0.4375	0.4710
[359]	[0.0237]	-0.5333	0.3750	0.4402
[360]	[0.0053]	-0.3798	0.4375	0.4391
[361]	[0.0099]	-0.2299	0.4375	0.4317
[362]	[-0.0063]	0.2860	0.3750	0.3289
[363]	[0.0043]	-0.1863	0.5000	0.4816
[364]	[-0.0106]	1.5805	0.1875	0.2886
[365]	[-0.0116]	0.3294	0.5000	0.5110
[366]	[-0.0010]	0.1293	0.5000	0.4681
[367]	[0.0139]	-2.3488	0.1250	0.2298
[368]	[0.0213]	-0.4255	0.4375	0.4121
[369]	[-0.0002]	0.1981	0.4375	0.3636
[370]	[0.0298]	-0.7078	0.3750	0.3779
[371]	[-0.0010]	0.0439	0.3750	0.4401
[372]	[-0.0001]	0.2237	0.4375	0.4757
[373]	[-0.0157]	1.7276	0.3125	0.3053
[374]	[0.0133]	-0.8857	0.3125	0.3508
[375]	[-0.0268]	1.2926	0.2500	0.3352
[376]	[0.0010]	-0.8495	0.4375	0.3908
[377]	[0.0164]	-0.5678	0.4375	0.3999
[378]	[0.0027]	-0.2782	0.3125	0.2556
[379]	[0.0017]	-2.0040	0.1875	0.1782
[380]	[-0.0068]	0.7028	0.3125	0.3817
[381]	[-0.0073]	0.9626	0.3750	0.4105
[382]	[0.0026]	-0.2352	0.5000	0.4831
[383]	[0.0171]	-0.4204	0.5000	0.4685
[384]	[0.0045]	-0.5396	0.2500	0.2295
[385]	[0.0144]	-1.1331	0.3750	0.4281
[386]	[-0.0078]	0.2724	0.5000	0.4561
[387]	[-0.0071]	0.1948	0.4375	0.4657
[388]	[-0.0000]	0.0051	0.4375	0.4497
[389]	[-0.0144]	0.2994	0.4375	0.4695
[390]	[-0.0059]	0.3346	0.3750	0.3319
[391]	[0.0142]	-0.8024	0.3750	0.4137
[392]	[0.0246]	-1.1662	0.1875	0.2979
[393]	[-0.0281]	1.3983	0.1875	0.2516
[394]	[0.0451]	-0.9561	0.2500	0.3160
[395]	[-0.0099]	0.2118	0.3750	0.3945
[396]	[0.0451]	-0.6465	0.3125	0.3039
[397]	[-0.0045]	0.4900	0.3125	0.3830
[398]	[0.0016]	-0.9481	0.5000	0.4443
[399]	[0.0168]	-0.4431	0.4375	0.4122
[400]	[-0.0036]	0.5616	0.5625	0.4675
[401]	[-0.0122]	0.4109	0.2500	0.2394
[402]	[0.0127]	-0.7329	0.4375	0.4340
[403]	[-0.0023]	0.1845	0.4375	0.4640
[404]	[0.0039]	-0.2020	0.3125	0.3869
[405]	[0.0023]	-0.0871	0.6250	0.5186
[406]	[0.0129]	-1.1718	0.4375	0.4243
[407]	[0.0264]	-1.6433	0.3750	0.3397
[408]	[0.0134]	-0.3813	0.3750	0.4170
[409]	[0.0142]	-0.2548	0.4375	0.4841
[410]	[0.0087]	-0.3281	0.5000	0.4664
[411]	[0.0278]	-1.0459	0.3750	0.3780
[412]	[0.0031]	-0.7064	0.2500	0.2748
[413]	[0.0003]	-0.4974	0.3750	0.3279
[414]	[0.0354]	-0.8287	0.2500	0.2808
[415]	[0.0033]	-0.3183	0.3750	0.3329
[416]	[0.0093]	-0.2817	0.3750	0.2773
[417]	[0.0380]	-1.6505	0.1875	0.2476
[418]	[-0.0003]	0.0080	0.4375	0.4428
[419]	[0.0159]	-0.6202	0.3750	0.4120
[420]	[0.0004]	-0.0101	0.3750	0.4581
[421]	[-0.0262]	0.6228	0.5625	0.4690
[422]	[-0.0139]	0.2308	0.4375	0.4523
[423]	[-0.0007]	0.1420	0.4375	0.4752
[424]	[0.0244]	-0.3820	0.3750	0.3781
[425]	[-0.0159]	0.9812	0.3750	0.3625
[426]	[-0.0040]	0.1072	0.4375	0.4575
[427]	[0.0163]	-2.1932	0.2500	0.2919
[428]	[0.0141]	-0.4248	0.3750	0.4260
[429]	[0.0071]	-0.1641	0.5000	0.4780
[430]	[0.0008]	-0.3965	0.5000	0.4708
[431]	[-0.0006]	0.0607	0.4375	0.4518
[432]	[-0.0276]	1.3191	0.3125	0.2914
[433]	[0.0704]	-1.7426	0.2500	0.2762
[434]	[0.0552]	-1.0769	0.3750	0.3815
[435]	[-0.0015]	0.0445	0.5625	0.4879
[436]	[0.0063]	-1.0691	0.3750	0.3709
[437]	[0.0161]	-1.3419	0.3125	0.3327
[438]	[0.0250]	-0.5945	0.3125	0.3604
[439]	[-0.0125]	0.7376	0.2500	0.2220
[440]	[0.0001]	-0.9034	0.5000	0.5206
[441]	[-0.0115]	0.5327	0.4375	0.4223
[442]	[0.0028]	-0.1397	0.4375	0.2833
[443]	[-0.0272]	1.4884	0.3125	0.3262
[444]	[0.0002]	-0.0806	0.5000	0.5000
[445]	[-0.0024]	0.7121	0.3125	0.3782
[446]	[-0.0192]	1.3233	0.2500	0.3158
[447]	[-0.0108]	0.6388	0.3750	0.4135
[448]	[0.0265]	-1.4003	0.4375	0.3779
[449]	[0.0047]	-1.7520	0.2500	0.2838
[450]	[-0.0158]	1.2938	0.3125	0.3798
[451]	[0.0215]	-2.1927	0.3125	0.2920
[452]	[0.0359]	-1.0585	0.2500	0.3011
[453]	[0.0061]	-1.7437	0.2500	0.2350
[454]	[0.0355]	-1.4170	0.1875	0.2562
[455]	[-0.0044]	0.2987	0.5000	0.4469
[456]	[0.0009]	-0.1804	0.4375	0.4597
[457]	[0.0064]	-0.1556	0.3125	0.4036
[458]	[0.0194]	-1.5612	0.2500	0.2792
[459]	[0.0127]	-0.6471	0.4375	0.4186
[460]	[0.0166]	-0.8671	0.3750	0.3706
[461]	[0.0109]	-0.2718	0.4375	0.4347
[462]	[-0.0013]	0.0346	0.4375	0.4038
[463]	[-0.0101]	0.5411	0.3750	0.4210
[464]	[-0.0023]	0.3015	0.5000	0.4658
