gene index	a_n	m	resub	bresub
[305]	[-0.0080]	0.6296	0.4000	0.3962
[306]	[-0.0074]	0.7469	0.4667	0.4367
[307]	[-0.0040]	1.1983	0.4667	0.4315
[308]	[0.0145]	-0.2173	0.4667	0.4190
[309]	[-0.0004]	0.4840	0.4000	0.4145
[310]	[-0.0056]	0.5794	0.3333	0.4154
[311]	[-0.0235]	0.9601	0.4000	0.3990
[312]	[0.0186]	-0.5275	0.4000	0.4311
[313]	[-0.0037]	0.4692	0.3333	0.3889
[314]	[-0.0338]	0.8434	0.3333	0.3205
[315]	[0.0018]	0.0444	0.4667	0.4676
[316]	[0.0277]	-0.3530	0.5333	0.4749
[317]	[-0.0089]	1.7619	0.2667	0.2779
[318]	[-0.0022]	0.8012	0.3333	0.3562
[319]	[0.0238]	-0.2720	0.4667	0.4571
[320]	[-0.0004]	0.7016	0.3333	0.3813
[321]	[0.0054]	-2.0609	0.4000	0.3684
[322]	[0.0019]	-0.1481	0.2667	0.3911
[323]	[-0.0245]	0.6922	0.2667	0.3244
[324]	[0.0001]	0.1194	0.4667	0.4667
[325]	[-0.0048]	0.2309	0.5333	0.5506
[326]	[-0.0309]	0.8637	0.3333	0.3219
[327]	[-0.0046]	0.4124	0.4000	0.4756
[328]	[-0.0023]	0.9251	0.2667	0.3322
[329]	[-0.0034]	0.4733	0.5333	0.4744
[330]	[0.0120]	-0.5959	0.3333	0.3541
[331]	[-0.0003]	0.1397	0.4667	0.4667
[332]	[-0.0066]	0.9878	0.4000	0.3942
[333]	[-0.0021]	0.3167	0.4000	0.4416
[334]	[-0.0196]	0.4120	0.5333	0.4574
[335]	[0.0394]	-1.3664	0.3333	0.3337
[336]	[-0.0067]	0.3859	0.4000	0.4363
[337]	[0.0014]	-0.1868	0.5333	0.4608
[338]	[-0.0061]	0.4593	0.4000	0.3552
[339]	[0.0301]	-0.4942	0.4000	0.3275
[340]	[-0.0035]	0.4045	0.4000	0.4255
[341]	[-0.0053]	0.2465	0.5333	0.5500
[342]	[0.0012]	0.1041	0.4667	0.4667
[343]	[-0.0088]	0.4426	0.4000	0.4367
[344]	[0.0323]	-0.4626	0.3333	0.3719
[345]	[-0.0212]	0.7640	0.4000	0.3661
[346]	[0.1580]	-2.9830	0.1333	0.1576
[347]	[-0.0143]	0.8182	0.3333	0.3042
[348]	[0.0196]	-0.5349	0.4000	0.4205
[349]	[0.0025]	-0.1489	0.3333	0.3529
[350]	[-0.0026]	0.2653	0.4667	0.4688
[351]	[0.0014]	0.0813	0.4667	0.4667
[352]	[0.0108]	-0.2782	0.4000	0.4381
[353]	[0.0276]	-0.8786	0.2000	0.3345
[354]	[0.0019]	0.0615	0.4667	0.4632
[355]	[0.0895]	-2.3258	0.1333	0.1389
[356]	[-0.0010]	0.3230	0.5333	0.4981
[357]	[0.0129]	-0.1716	0.3333	0.3847
[358]	[-0.0326]	2.3171	0.1333	0.2042
[359]	[0.0027]	0.0898	0.4667	0.4662
[360]	[0.0006]	0.0930	0.4667	0.4667
[361]	[0.0170]	-0.1337	0.6000	0.5301
[362]	[-0.0008]	0.2219	0.5333	0.4721
