"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000023953",1,2,0,10,3,16,1,0,6,1,4,4,1,7,12,6,4,2,1,6,8,0,2,0,10,5,0,0,0,9,0,0,0,2,0,0,4,0
"ENSMUSG00000023959",77,18,8,42,60,20,40,40,0,54,18,29,14,25,37,16,24,66,29,37,26,65,17,13,2,40,21,63,20,9,13,8,37,36,11,20,36,35
"ENSMUSG00000023971",4,16,9,30,1,29,11,7,45,11,66,35,15,7,6,2,34,8,3,46,56,5,17,29,20,25,16,8,35,46,15,25,3,2,22,0,24,13
"ENSMUSG00000023977",4,0,4,8,6,5,8,12,0,0,16,2,4,9,2,8,2,3,0,0,2,4,5,8,10,5,7,2,3,9,4,0,4,12,0,0,4,6
"ENSMUSG00000024002",13,4,19,10,16,14,10,7,10,0,12,7,10,16,13,18,14,9,25,3,16,15,17,17,7,5,7,18,7,3,4,0,18,5,7,15,6,2
"ENSMUSG00000024006",20,10,17,23,21,9,26,38,3,20,23,38,23,41,21,60,14,30,27,17,16,38,16,23,12,22,27,61,26,0,34,22,40,10,9,15,36,24
"ENSMUSG00000024014",25,14,9,7,43,14,17,239,6,16,9,9,46,88,63,482,73,130,32,9,34,31,84,48,0,30,4,15,6,17,0,17,34,7,11,2,73,7
"ENSMUSG00000024029",16,10,17,8,38,11,16,17,10,14,27,11,5,9,21,10,14,11,1,6,26,12,19,8,2,19,12,7,1,9,2,11,7,2,24,4,0,17
"ENSMUSG00000024030",1,10,8,2,5,5,5,2,3,7,0,0,1,2,4,5,0,4,1,0,0,2,0,2,5,5,2,10,0,0,0,0,1,0,0,4,8,2
"ENSMUSG00000024036",5,2,2,2,14,0,7,2,3,9,5,4,8,5,1,2,7,3,4,0,12,4,10,0,0,5,2,5,3,3,6,6,9,0,2,2,6,6
"ENSMUSG00000024042",9,0,0,2,3,2,4,5,0,0,0,0,3,2,5,18,2,4,0,6,4,1,2,2,2,0,0,2,0,3,2,0,1,0,0,0,0,2
"ENSMUSG00000024044",5,0,0,7,7,59,5,3,3,0,5,4,17,2,6,1,2,3,3,3,6,9,12,15,15,16,57,6,16,11,13,22,6,10,4,15,203,6
"ENSMUSG00000024048",16,2,0,0,11,7,2,4,3,3,0,5,0,0,7,7,11,5,0,0,4,5,0,4,5,5,0,7,6,0,8,0,14,0,7,0,2,2
"ENSMUSG00000024052",68,118,45,138,225,118,85,113,32,97,30,107,181,52,40,112,155,110,194,98,32,108,103,71,12,173,58,8,62,69,43,22,213,10,83,26,101,13
"ENSMUSG00000024054",4,4,24,5,4,0,7,9,3,3,0,11,10,11,2,27,9,15,11,12,14,4,19,6,5,3,2,7,10,11,11,3,11,10,7,15,24,7
"ENSMUSG00000024063",1,0,4,3,4,0,3,1,0,6,9,9,6,0,6,3,3,4,4,6,10,10,7,4,5,0,7,1,0,0,0,0,4,2,7,0,4,5
"ENSMUSG00000024066",10,4,0,7,5,0,0,7,0,9,5,4,10,0,4,3,6,4,3,0,2,6,3,13,0,8,11,4,6,6,0,6,4,0,13,11,0,2
"ENSMUSG00000024070",0,2,0,0,1,0,0,9,0,0,0,2,4,9,2,41,2,5,0,0,4,2,0,2,7,0,4,0,0,0,2,0,1,2,0,0,0,0
"ENSMUSG00000024072",8,10,11,3,17,0,12,3,0,11,4,4,3,0,2,9,5,8,8,0,12,7,31,17,0,5,2,8,4,6,6,11,17,0,13,9,6,8
"ENSMUSG00000024073",24,22,23,40,25,16,27,32,10,16,11,7,10,14,18,20,16,16,23,23,10,19,31,23,22,35,14,19,13,14,13,14,18,17,2,13,24,27
"ENSMUSG00000024074",15,26,19,7,25,0,42,31,6,13,18,13,13,9,13,13,22,17,25,9,36,23,12,19,7,14,16,36,19,6,15,8,25,31,59,33,6,37
"ENSMUSG00000024077",9,2,4,0,6,36,4,7,3,13,0,11,24,2,10,2,7,7,5,3,0,4,2,4,7,2,7,2,3,3,8,3,4,5,4,0,2,6
"ENSMUSG00000024079",0,2,0,0,4,5,2,10,0,1,0,11,5,5,4,7,3,6,4,3,2,4,3,2,0,6,5,0,0,0,2,0,6,2,0,0,0,6
"ENSMUSG00000024081",1,2,0,3,3,0,2,3,0,6,4,0,5,9,2,30,5,11,2,0,2,6,7,0,2,0,5,8,6,0,0,6,12,0,2,0,0,7
"ENSMUSG00000024085",5,10,4,18,4,0,5,9,0,4,2,5,5,9,7,4,5,7,8,12,2,1,3,17,15,2,4,2,4,9,6,3,4,0,9,2,0,2
"ENSMUSG00000024091",19,34,28,39,41,14,17,19,10,13,14,24,18,18,16,14,14,38,13,23,34,18,7,6,0,6,12,17,12,11,19,0,19,5,31,11,10,20
"ENSMUSG00000024095",10,4,32,17,4,14,17,12,26,19,12,9,18,2,5,8,18,11,10,6,10,11,17,23,15,8,9,11,29,20,13,8,5,10,0,24,12,12
