"Gene.Number","bresub","Gene.Name"
382,0.463,"Foxo3"
383,0.4197,"Slc39a9"
384,0.5135,"Arhgap30"
385,0.3272,"Krt8"
386,0.3606,"Hoxb13"
387,0.3918,"Slc17a5"
388,0.3656,"Gja8"
389,0.4429,"Lgr4"
390,0.3658,"Foxc1"
391,0.3558,"Lgals3"
392,0.4667,"Ftl1"
393,0.3131,"Prkca"
394,0.3767,"Ffar2"
395,0.3052,"Cacna1c"
396,0.396,"Ywhag"
397,0.3421,"Ttn"
398,0.353,"Jun"
399,0.4602,"Prkcb"
400,0.4392,"Tcf4"
401,0.4401,"Lifr"
402,0.3108,"Rhob"
403,0.4128,"Ceacam2"
404,0.4064,"Slfn5"
405,0.3743,"Slc30a7"
406,0.2183,"Tle5"
407,0.3142,"Adam10"
408,0.3886,"Ddx17"
409,0.202,"Foxd2"
410,0.4743,"Fut9"
411,0.4179,"Cldn23"
412,0.3408,"S100a8"
413,0.379,"S100a9"
414,0.434,"Socs6"
415,0.3628,"Cebpb"
416,0.3185,"Ptafr"
417,0.3792,"Birc2"
418,0.3003,"Mab21l2"
419,0.4127,"Trim31"
420,0.2586,"Nfam1"
421,0.3962,"Tspan7"
422,0.4334,"Thra"
423,0.3834,"Septin9"
424,0.3887,"Hopx"
425,0.4806,"Max"
426,0.4251,"Ptk2b"
427,0.4029,"Tpt1"
428,0.4662,"Slc4a4"
429,0.2739,"Maml3"
430,0.4609,"Dot1l"
431,0.3602,"Slc25a3"
432,0.3945,"Erbb2"
433,0.4386,"Actg1"
434,0.4777,"Acadm"
435,0.3826,"Mapk3"
436,0.316,"Ldha"
437,0.3809,"Mapk1"
438,0.4192,"Gpx1"
439,0.409,"Nr6a1"
440,0.4605,"mt-Co1"
441,0.3639,"mt-Co3"
442,0.2985,"Slc31a1"
443,0.3463,"Bmpr2"
444,0.4027,"Afdn"
445,0.4292,"Duox2"
446,0.4773,"Cgn"
447,0.4535,"Msi2"
448,0.4105,"Ccnd1"
449,0.5465,"Top1"
450,0.3748,"Ceacam20"
451,0.33,"Ptges3"
452,0.3969,"Naip5"
453,0.3992,"Reg3b"
454,0.4789,"Csf2rb"
455,0.3931,"Cdkn2b"
456,0.2926,"Ccl28"
457,0.4294,"Selenos"
458,0.3804,"Psme2b"
459,0.4439,"Naip6"
460,0.4077,"Naip2"
461,0.4419,"Naip3"
462,0.3766,"Bcl2l2"
463,0.3929,"Slc5a3"
464,0.4558,"Kctd12"
