"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,107,241,0.02,"Slc30a4","Pde4d","Pde4b",0.1512,0.5474,0.0939,0.0498,-0.0042,0.0498,-0.0042
33,108,241,0.0248,"Slc30a4","Slc4a7","Pde4b",0.1464,0.4253,0.0891,0.0498,-0.009,0.0498,-0.009
33,110,241,0.0215,"Slc30a4","Ngly1","Pde4b",0.1497,0.2887,0.0924,0.0498,-0.0057,0.0498,-0.0057
33,111,241,0.0123,"Slc30a4","Mapk8","Pde4b",0.1589,0.473,0.1016,0.0498,0.0035,0.0498,0.0035
33,113,241,0.023,"Slc30a4","Lats2","Pde4b",0.1482,0.3749,0.0909,0.0498,-0.0072,0.0498,-0.0072
33,114,241,0.0194,"Slc30a4","Zdhhc20","Pde4b",0.1518,0.4208,0.0945,0.0498,-0.0036,0.0498,-0.0036
33,116,241,0.0442,"Slc30a4","Rb1","Pde4b",0.127,0.3761,0.0697,0.0498,-0.0284,0.0498,-0.0284
33,120,241,0.0482,"Slc30a4","Ywhaz","Pde4b",0.123,0.2013,0.0657,0.0498,-0.0324,0.0498,-0.0324
33,122,241,0.0262,"Slc30a4","Vdr","Pde4b",0.145,0.4663,0.0877,0.0498,-0.0104,0.0498,-0.0104
33,126,241,0.0242,"Slc30a4","Gsdmd","Pde4b",0.147,0.3605,0.0897,0.0498,-0.0084,0.0498,-0.0084
33,127,241,0.0469,"Slc30a4","Alcam","Pde4b",0.1243,0.2188,0.067,0.0498,-0.0311,0.0498,-0.0311
33,129,241,0.0283,"Slc30a4","Tfrc","Pde4b",0.1429,0.2923,0.0856,0.0498,-0.0125,0.0498,-0.0125
33,134,241,0.0266,"Slc30a4","Il10rb","Pde4b",0.1446,0.4746,0.0873,0.0498,-0.0108,0.0498,-0.0108
33,135,241,0.0241,"Slc30a4","Sod1","Pde4b",0.1471,0.4127,0.0898,0.0498,-0.0083,0.0498,-0.0083
33,138,241,0.0171,"Slc30a4","Slc10a2","Pde4b",0.1541,0.4608,0.0968,0.0498,-0.0013,0.0498,-0.0013
33,141,241,0.0066,"Slc30a4","Pla2g7","Pde4b",0.1646,0.4306,0.1073,0.0498,0.0092,0.0498,0.0092
33,142,241,0.0294,"Slc30a4","Tnfrsf21","Pde4b",0.1418,0.4041,0.0845,0.0498,-0.0136,0.0498,-0.0136
33,146,241,0.0176,"Slc30a4","Epas1","Pde4b",0.1536,0.3106,0.0963,0.0498,-0.0018,0.0498,-0.0018
