"Gene.Number","bresub","Gene.Name"
419,0.3254,"Trim31"
420,0.4562,"Nfam1"
421,0.5189,"Tspan7"
422,0.4142,"Thra"
423,0.4432,"Septin9"
424,0.4148,"Hopx"
425,0.3827,"Max"
426,0.5263,"Ptk2b"
427,0.4275,"Tpt1"
428,0.4023,"Slc4a4"
429,0.3238,"Maml3"
430,0.1857,"Dot1l"
431,0.4247,"Slc25a3"
432,0.4052,"Erbb2"
433,0.4961,"Actg1"
434,0.4652,"Acadm"
435,0.5287,"Mapk3"
436,0.3701,"Ldha"
437,0.4918,"Mapk1"
438,0.388,"Gpx1"
439,0.4604,"Nr6a1"
440,0.367,"mt-Co1"
441,0.37,"mt-Co3"
442,0.267,"Slc31a1"
443,0.3175,"Bmpr2"
444,0.4127,"Afdn"
445,0.1571,"Duox2"
446,0.3445,"Cgn"
447,0.506,"Msi2"
448,0.2233,"Ccnd1"
449,0.3667,"Top1"
450,0.4518,"Ceacam20"
451,0.4077,"Ptges3"
452,0.365,"Naip5"
453,0.4894,"Reg3b"
454,0.4425,"Csf2rb"
455,0.3451,"Cdkn2b"
456,0.5561,"Ccl28"
457,0.4599,"Selenos"
458,0.4892,"Psme2b"
459,0.4351,"Naip6"
460,0.3425,"Naip2"
461,0.4107,"Naip3"
462,0.4074,"Bcl2l2"
463,0.4293,"Slc5a3"
464,0.4603,"Kctd12"
