"Gene.Number","bresub","Gene.Name"
392,0.3801,"Ftl1"
393,0.2712,"Prkca"
394,0.4321,"Ffar2"
395,0.3996,"Cacna1c"
396,0.453,"Ywhag"
397,0.449,"Ttn"
398,0.3916,"Jun"
399,0.4402,"Prkcb"
400,0.4671,"Tcf4"
401,0.4272,"Lifr"
402,0.3114,"Rhob"
403,0.4001,"Ceacam2"
404,0.4106,"Slfn5"
405,0.327,"Slc30a7"
406,0.2898,"Tle5"
407,0.3251,"Adam10"
408,0.4021,"Ddx17"
409,0.4692,"Foxd2"
410,0.4667,"Fut9"
411,0.4406,"Cldn23"
412,0.432,"S100a8"
413,0.5683,"S100a9"
414,0.281,"Socs6"
415,0.3461,"Cebpb"
416,0.4667,"Ptafr"
417,0.1622,"Birc2"
418,0.4224,"Mab21l2"
419,0.3956,"Trim31"
420,0.2937,"Nfam1"
421,0.3352,"Tspan7"
422,0.4709,"Thra"
423,0.4635,"Septin9"
424,0.4635,"Hopx"
425,0.2791,"Max"
426,0.3396,"Ptk2b"
427,0.3673,"Tpt1"
428,0.3285,"Slc4a4"
429,0.2817,"Maml3"
430,0.3945,"Dot1l"
431,0.4599,"Slc25a3"
432,0.3742,"Erbb2"
433,0.3861,"Actg1"
434,0.4618,"Acadm"
435,0.4757,"Mapk3"
436,0.2969,"Ldha"
437,0.3398,"Mapk1"
438,0.2542,"Gpx1"
439,0.467,"Nr6a1"
440,0.4186,"mt-Co1"
441,0.3483,"mt-Co3"
442,0.2946,"Slc31a1"
443,0.478,"Bmpr2"
444,0.3609,"Afdn"
445,0.4514,"Duox2"
446,0.4663,"Cgn"
447,0.3901,"Msi2"
448,0.3959,"Ccnd1"
449,0.3861,"Top1"
450,0.4847,"Ceacam20"
451,0.4041,"Ptges3"
452,0.3585,"Naip5"
453,0.4667,"Reg3b"
454,0.2519,"Csf2rb"
455,0.4717,"Cdkn2b"
456,0.3792,"Ccl28"
457,0.3313,"Selenos"
458,0.4816,"Psme2b"
459,0.3849,"Naip6"
460,0.3872,"Naip2"
461,0.4666,"Naip3"
462,0.4,"Bcl2l2"
463,0.444,"Slc5a3"
464,0.4667,"Kctd12"
